FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.273852385,0.620106518,0.542229712,0.687500000
0.274639964,0.620106518,0.542229712,0.687500000
0.275427543,0.620800197,0.542579055,0.689068854
0.276215122,0.621417284,0.543496251,0.690063834
0.277002700,0.621417284,0.543496251,0.690063834
0.277790279,0.622114122,0.543513954,0.690857708
0.278577858,0.622665286,0.546006918,0.690857708
0.279365437,0.623261571,0.546006918,0.690857708
0.280153015,0.623261571,0.546006918,0.690857708
0.280940594,0.623930871,0.546548963,0.691886961
0.281728173,0.624548078,0.546875000,0.691886961
0.282515752,0.624548078,0.546875000,0.691886961
0.283303330,0.625218391,0.547849000,0.693576396
0.284090909,0.625837266,0.548833191,0.693576396
0.284878488,0.625837266,0.548833191,0.693576396
0.285666067,0.626465023,0.549604893,0.694078922
0.286453645,0.627243638,0.550000012,0.694078922
0.287241224,0.627795100,0.550000012,0.695046425
0.288028803,0.627795100,0.550000012,0.695046425
0.288816382,0.628414333,0.550877213,0.695246160
0.289603960,0.628966749,0.550922215,0.695246160
0.290391539,0.628966749,0.550922215,0.695246160
0.291179118,0.629534483,0.550922215,0.696546078
0.291966697,0.630107522,0.551426113,0.696763217
0.292754275,0.630107522,0.551426113,0.696763217
0.293541854,0.630754292,0.551781297,0.696943998
0.294329433,0.631328762,0.551926315,0.697368443
0.295117012,0.631898522,0.553819418,0.698190808
0.295904590,0.631898522,0.553819418,0.698190808
0.296692169,0.632505000,0.554794550,0.698267996
0.297479748,0.633139908,0.555555582,0.698267996
0.298267327,0.633139908,0.555555582,0.698267996
0.299054905,0.633669913,0.555555582,0.698267996
0.299842484,0.634258032,0.555555582,0.699085593
0.300630063,0.634258032,0.555555582,0.699085593
0.301417642,0.634796321,0.555650711,0.699085593
0.302205221,0.635394216,0.556349218,0.699690402
0.302992799,0.636056840,0.556618810,0.700530052
0.303780378,0.636056840,0.556618810,0.700530052
0.304567957,0.636609614,0.557755768,0.700530052
0.305355536,0.637157619,0.557971001,0.700530052
0.306143114,0.637157619,0.557971001,0.700530052
0.306930693,0.637767375,0.559011161,0.701238394
0.307718272,0.638315558,0.560209453,0.702341139
0.308505851,0.638315558,0.560209453,0.702341139
0.309293429,0.638896823,0.560209453,0.702341139
0.310081008,0.639491320,0.560374141,0.702341139
0.310868587,0.640046835,0.560374141,0.702341139
0.311656166,0.640046835,0.560374141,0.702341139
0.312443744,0.640664935,0.563526332,0.702515185
0.313231323,0.641218901,0.563526332,0.702608705
0.314018902,0.641218901,0.563526332,0.702608705
0.314806481,0.641704202,0.564205468,0.702886224
0.315594059,0.642228901,0.564437211,0.702886224
0.316381638,0.642228901,0.564437211,0.702886224
0.317169217,0.642779589,0.564962268,0.703220189
0.317956796,0.643349588,0.565254986,0.704249799
0.318744374,0.643913209,0.566022515,0.704249799
0.319531953,0.643913209,0.566022515,0.704249799
0.320319532,0.644427299,0.566502452,0.705432951
0.321107111,0.644914091,0.566502452,0.706281841
0.321894689,0.644914091,0.566502452,0.706281841
0.322682268,0.645420790,0.568144500,0.706281841
0.323469847,0.645914316,0.568144500,0.707357883
0.324257426,0.645914316,0.568144500,0.707357883
0.325045005,0.646419168,0.569727898,0.707571805
0.325832583,0.646875620,0.572019875,0.707587361
0.326620162,0.647445619,0.572019875,0.707667708
0.327407741,0.647445619,0.572019875,0.707667708
0.328195320,0.647892654,0.572019875,0.708881557
0.328982898,0.648449659,0.572019875,0.709012866
0.329770477,0.648449659,0.572019875,0.709012866
0.330558056,0.648916841,0.572593808,0.709012866
0.331345635,0.649453700,0.574248910,0.709265172
0.332133213,0.649453700,0.574248910,0.709265172
0.332920792,0.649961710,0.574324310,0.709703922
0.333708371,0.650435567,0.574324310,0.709891915
0.334495950,0.650874913,0.574503303,0.710526288
0.335283528,0.650874913,0.574503303,0.710526288
0.336071107,0.651335299,0.574829936,0.710729599
0.336858686,0.651826382,0.574829936,0.710862637
0.337646265,0.651826382,0.574829936,0.710862637
0.338433843,0.652298927,0.574829936,0.711587965
0.339221422,0.652847588,0.576824009,0.711587965
0.340009001,0.652847588,0.576824009,0.711587965
0.340796580,0.653284192,0.576824009,0.711727858
0.341584158,0.653791606,0.576824009,0.711727858
0.342371737,0.654339433,0.576824009,0.712014139
0.343159316,0.654339433,0.576824009,0.712014139
0.343946895,0.654821455,0.576824009,0.712014139
0.344734473,0.655280411,0.576824009,0.712351918
0.345522052,0.655280411,0.576824009,0.712351918
0.346309631,0.655758083,0.579081655,0.712385714
0.347097210,0.656193376,0.579081655,0.713799000
0.347884788,0.656193376,0.579081655,0.713799000
0.348672367,0.656661868,0.579081655,0.714664340
0.349459946,0.657134533,0.579861104,0.715170264
0.350247525,0.657565534,0.579861104,0.715170264
0.351035104,0.657565534,0.579861104,0.715170264
0.351822682,0.658053100,0.579861104,0.715404689
0.352610261,0.658503354,0.579861104,0.715524733
0.353397840,0.658503354,0.579861104,0.715524733
0.354185419,0.658974290,0.580257535,0.715524733
0.354972997,0.659443796,0.580729187,0.715710700
0.355760576,0.659443796,0.580729187,0.715710700
0.356548155,0.659895897,0.580729187,0.716085255
0.357335734,0.660345197,0.582077026,0.716275036
0.358123312,0.660780787,0.583333313,0.717373252
0.358910891,0.660780787,0.583333313,0.717373252
0.359698470,0.661247790,0.583333313,0.717428088
0.360486049,0.661656737,0.583467066,0.718166411
0.361273627,0.661656737,0.583467066,0.718166411
0.362061206,0.662134588,0.586264670,0.718166411
0.362848785,0.662574708,0.586919129,0.718166411
0.363636364,0.662574708,0.586919129,0.718166411
0.364423942,0.663050830,0.586919129,0.719015300
0.365211521,0.663486838,0.587779701,0.719961226
0.365999100,0.663916111,0.588777244,0.719961226
0.366786679,0.663916111,0.588777244,0.719961226
0.367574257,0.664331734,0.588777244,0.719961226
0.368361836,0.664835811,0.590476215,0.720728517
0.369149415,0.664835811,0.590476215,0.720728517
0.369936994,0.665342629,0.590476215,0.720728517
0.370724572,0.665740073,0.590476215,0.721465051
0.371512151,0.665740073,0.590476215,0.721465051
0.372299730,0.666230321,0.590476215,0.721465051
0.373087309,0.666704595,0.591194987,0.721595824
0.373874887,0.667115450,0.592063487,0.722868204
0.374662466,0.667115450,0.592063487,0.722868204
0.375450045,0.667516828,0.594594598,0.722868204
0.376237624,0.667935431,0.595439196,0.722961724
0.377025203,0.667935431,0.595439196,0.722961724
0.377812781,0.668318272,0.595439196,0.723350227
0.378600360,0.668731213,0.597619057,0.723837197
0.379387939,0.668731213,0.597619057,0.723837197
